Slang
K
KK
KK
KB
KB
KDFU
KEWL
KEYA
KEYME
KFY
KIA
KIR
KISS
KIT
KMA
KMK
KMS
KMT
KOC
KOL
Koreaboo
KOS
KOS
KOW
KOTC
KOTD
KOTL
KNIM
KNOW
KPC
KS
KSC
KT
KUTGW
KYS
LAB
LBAY
LBS
LBVS
LD
LD
LDO
LEMENO
LERK
LFD
LFG
LFG
LFM
LGH
LHSX
LHM
LHO
LI
LIC
LIK
LIMT
LIT
LIT
LLGB
LLS
LMAO
LMBO
LMFAO
LMIRL
LMK
LMMFAO
LMNK
LMS
LNT
LOA
LOL
LOL
LOL
LOLH
LOLO
LOLWTF
LOTI
LOTR
LQTM
LSHMBH
LSV
LTD
LTLWDLS
LTNS
LTOD
LTS
LULT
LULZ
LVM
LWOS
LY
LYLAS
LYLC
LYSM
MB
MBS
MC
MDIAC
MEGO
MEH
MEH
MEHH
MEZ
MFI
MFW
MGB
MGMT
MHOTY
MIRL
MIRL
MKAY
MLM
MM
MMK
MNC
MNSG
MOD
MOD
MORF
MOMBOY
MOO
MOOS
MOS
MOSS
MP
MRT
MRW
MSG
MTF
MTFBWU
MU
MUAH
MUSM
MWAH
MYO
MYOB
NADT
NALOPKT
NANA
NBD
NBFAB
NC
ND
NE
NERF
NFM
NFM
NGL
NFS
NFS
NFW
NFW
NFWS
NH
NIFOC
NIGI
NIMBY
NIROK
NLT
NM
NM
NM
NMH
NMJC
NMU
NOOB
NOWL
NOYB
NP
NPC
NQT
NR
NRN
NS
NS
NSA
NSFL
NSFW
NSISR
NT
NTHING
NTS
NVM
NVR
NW
NWO
O
O
O
OA
OATUS
OB
OB
OBV
OFC
OG
OGIM
OH
OHHEMMGEE
OI
OIB
OIC
OJ
OL
OLL
OM
OM
OMAA
OMDB
OMFG
OMG
OMG
OMGYS
OMS
OMW
ONL
OO
OOC
OOH
OOMF
OOTD
OOTD
OOTO
OP
ORLY
OS
OT
OTB
OTFL
OTL
OTOH
OTP
OTP
OTT
OTTOMH
OTW
OVA
OYO
P
PAP
PAT
PAW
PBOOK
PC
PCM
PDA
PDH
PDS
PDQ
PEEPS
PFT
PIC
PIP
PIR
PISS
PITA
PKMN
PLD
PLMK
PLS
PLU
PLZ
PLZTLME
PM
PMFI
PMFJI
PMSL
POAHF
POIDH
POS
POT
POTD
POV
POV
PPL
PPU
PRESH
PROBS
PROLLY
PROGGY
PRON
PRT
PRT
PRW
PSA
PSOS
PSP
PST
PTFO
PTIYPASI
PTL
PTMM
PTO
PTO
PTO
PUG
PVE
PVP
PWN
PXT
PU
PUKS
PYT
PZ
PZA
Q
QC
QFE
QFI
QFI
QFT
QIK
QL
QOTD
QQ
QSL
QSO
QT
QTPI
R
RBAY
RFN
RGR
RHIP
RIP
RL
RLY
RME
RMLB
RMMM
ROFL
ROFLCOPTER
ROFLMAO
ROTFL
ROTFLUTS
RS
RSN
RT
RT
RTBS
RTFM
RTFQ
RTHX
RTMS
RTNTN
RTRCTV
RTRMT
RTSM
RTWFQ
RU
RUMOF
RUT
RUOK
RX
RW
RX
RYB
RYO
RYS
RYS
SAL
SAT
SAVAGE
SB
SB
SB
SBIA
SBT
SC
SD
SDMB
SENPAI
SEO
SETE
SELFIE
SFAIK
SH
SHID
SHIP
SICNR
SIHTH
SIMYC
SIR
SIS
SIS
SIT
SITD
SJW
SLAP
Slay
SM
SMAZED
SMEXI
SMH
SMHID
SNAFU
SNERT
SNR
SO
SOAB
SOL
SOMY
SorG
SOS
SOS
SOT
SOTMG
SOWM
SPK
SRSLY
SPST
SPTO
SQ
SRY
SS
SSDD
SSIF
SSINF
Stan
STFU
STW
SU
SUITM
SUL
SUP
SUTH
SUX
SUYF
SWAG
SWAG
SWAK
SWALK
SWAT
SWL
SWMBO
SYL
SYS
SYY
TA
TAFN
TAM
TANK
TANKED
TANKING
TARFU
TAU
TAUMUALU
TBAG
TBBH
TBC
TBD
TBH
TBL
TBT
TC
TCB
TCOY
TD
TDTM
TEA
TFF
TFS
TFTF
TFTI
TFTT
TG
TGIF
THNQ
THNX
THOT
THT
THX
TIA
TIAD
TIC
TIL
TILIS
TIR
TL
TM
TMA
TMB
TMB
TMI
TMOT
TMTH
TMYL
TMWFI
TNSTAAFL
TNT
TOJ
TOS
TOTES
TOU
TOY
TPM
TPTB
TQ
TSH
TSNF
TSTB
TT
TTFN
TTLY
TTTT
TTUL
TU
TUI
TURNT
TWSS
TTG
TTYAFN
TTYL
TTYS
TY
TYFC
TYFYC
TYS
TYT
TYSO
TYAFY
TYVM
TX
UCMU
UDI
UDM
UDS
UFB
UFN
UFWM
UGTBK
UHGTBSM
UKTR
UL
UNA
UNBLEFBLE
UNCRTN
UNPC
UOK
UR
URH
URSKTM
URTM
URW
USBCA
USU
UT
UTM
UV
UW
UX
V
VAT
VBL
VBS
VC
VEG
VFF
VFM
VGC
VGG
VGH
VIP
VM
VN
VNH
VoIP
VRY
VSC
VSF
VWD
VWP
WAH
WAJ
WAM
WAREZ
WAS
WAS
WAT
WAWA
WAYF
WB
WBS
WBU
WC
WC
WCA
WE
WEBO
WEEBO
WEP
WHATEVES
WIBNI
WDALYIC
WDYK
WDYT
WGACA
WIIFM
WISP
WITP
WITW
WIU
WK
WKD
WRT
WL
WOA
WOKE
WOMBAT
WOW
WRK
WRU
WRUD
WTB
WTF
WTFE
WTFO
WTG
WTGP
WTH
WTM
WTS
WTT
WU
WUCIWUG
WUF
WUP
WUT
WUW
WUZ
WWJD
WWJD
WWNC
WWYC
WYCM
WYD
WYGAM
WYHAM
WYLEI
WYSIWYG
WYWH
X
XD
XD
XME
XOXOXO
XLNT
XPOST
XYL
XYZ
Y
YA
YAA
YABA
YARLY
YAS
YBIC
YBS
YCDBWYCID
YCHT
YCLIU
YCMU
YCT
YD
YEET
YF
YG
YGG
YGTBKM
YGTR
YHBT
YHBW
YHL
YIU
YKW
YKWYCD
YL
YMMV
YNK
YOLO
YR
YR
YRYOCC
YSIC
YSYD
YT
YT
YTB
YTB
YTTL
YTG
YW
YWHNB
YWHOL
YWSYLS
YYSSW
Z
Z
Z
ZH
ZOMG
ZOT
ZUP
ZZZZ
