,0
veg,322.5174039754922
wrk,316.7468552387093
eva,310.5308736011075
sd,305.1095181313402
bot,304.5329471251546
ttyl,301.426211704626
fu,298.72963585608153
aa,298.44094761272794
mb,288.4596742006516
nt,283.6301305405443
fr,281.1482704884579
inc,277.237749584585
ba,276.6749319994431
rly,274.038664536145
sh,273.7871828905908
np,269.4527080250254
ss,269.4438259142655
ot,269.0385377480174
dh,268.4435069135711
brb,265.79441662942475
tu,265.1293185629546
smash,263.3766225842057
li,262.3224283814251
ut,258.9140767692402
srsly,251.39494530874506
wawa,246.85643545925376
mod,243.3867370755432
su,240.51549047028058
clown,239.86260690796908
pos,235.05224540905357
chad,233.6924890989986
dl,232.71732492859397
bam,229.28878131544326
sm,227.86171036015816
ooc,226.13243511561097
buff,218.221726063172
cringe,215.50515430440305
rx,213.1587777937989
af,213.13682882748725
kk,211.88380328967318
oi,208.56629299890426
gna,208.09145007146233
bom,207.12808233732076
nana,207.0853549732822
om,206.38972792163452
sup,206.1153708693025
gnite,204.68545561721777
psp,204.13720908733774
gnight,200.82298263406182
wut,200.70502770610554
tc,198.76794585065568
ack,198.43762522812125
nm,196.98694772958052
bg,194.57377881812144
sheesh,194.31341778156286
nh,192.84492037792296
ltd,190.46145554674834
oj,189.38337830235818
yt,188.0576052006746
cya,187.3405099788226
shook,184.51851905047027
swag,182.89498962784555
kia,180.0202318076161
css,179.16207415522155
muah,177.1318840620793
ova,172.50710504653964
mwah,172.49207523235745
cu,169.8453944584208
ffs,166.81380821872122
fil,164.81876261754743
xoxoxo,161.64300964123916
ly,161.30282799386015
wig,161.29647474783258
yaa,158.56733638914733
seo,157.5336289574918
arg,154.9956327223141
mrw,154.0175253334493
irl,152.32332680375455
savage,151.82734989896542
dw,151.46269877364784
pst,150.0741017634667
ick,149.85174326808743
imho,148.84370342203104
flex,148.27962634206173
td,143.5558302300392
ciao,143.2713026232122
cmon,140.96659143723082
iso,140.22071550902618
nvm,139.59204256219326
mos,138.62901356800552
zomg,137.9373771784838
moo,136.74505153489494
jp,136.6125410034132
itt,135.61995709527312
